county,dem56,rep56,othr56,totl56,dem60,rep60,othr60,totl60
ADAMS,11402,19569,32,31003,14827,18674,28,33529
ALEXANDER,4167,4425,21,8613,4477,4143,18,8638
BOND,2834,4342,11,7187,2856,4297,9,7162
BOONE,1890,6706,6,8602,2605,6552,5,9162
BROWN,1748,2026,1,3775,1849,1889,2,3740
BUREAU,5781,13909,21,19711,7786,12597,24,20407
CALHOUN,1498,1892,1,3391,1608,1654,5,3267
CARROLL,2693,6503,15,9211,3097,6282,39,9418
CASS,3368,4125,11,7504,3692,4015,8,7715
CHAMPAIGN,13799,28190,51,42040,17115,27793,533,45441
CHRISTIAN,9093,10282,59,19434,10207,9263,15,19485
CLARK,3519,5451,4,8974,3949,5319,5,9273
CLAY,3553,5079,16,8648,3394,5134,10,8538
CLINTON,4242,7378,7,11627,6188,5709,6,11903
COLES,7569,12436,10,20015,8629,12166,19,20814
COOK,977821,1293223,5800,2276844,1378343,1059607,7319,2445269
CRAWFORD,3906,6747,9,10662,4245,6809,4,11058
CUMBERLAND,2272,3235,5,5512,2475,3020,5,5500
DE KALB,4826,15078,25,19929,6783,15586,19,22388
DE WITT,3093,5307,4,8404,3607,5074,8,8689
DOUGLAS,2774,5559,6,8339,3532,5761,6,9299
DU PAGE,23103,91834,207,115144,44263,101014,168,145445
EDGAR,4362,7942,5,12309,5024,7348,4,12376
EDWARDS,1210,3339,1,4550,1446,3291,8,4745
EFFINGHAM,4455,6904,21,11380,5676,6410,6,12092
FAYETTE,4914,6739,5,11658,4907,6586,11,11504
FORD,2152,6027,3,8182,2698,5779,1,8478
FRANKLIN,11308,11761,0,23069,11368,11861,37,23266
FULTON,8702,12375,48,21125,10194,11999,58,22251
GALLATIN,2230,2179,6,4415,2386,2179,5,4570
GREENE,3909,4718,19,8646,3847,4487,10,8344
GRUNDY,2618,7640,3,10261,4276,6948,4,11228
HAMILTON,2685,3675,4,6364,2639,3804,11,6454
HANCOCK,4854,8431,12,13297,4947,8036,7,12990
HARDIN,1444,1919,8,3371,1465,1944,4,3413
HENDERSON,1469,2743,3,4215,1697,2572,4,4273
HENRY,8349,15896,39,24284,10372,14297,21,24690
IROQUOIS,4487,12104,18,16609,5821,11376,16,17213
JACKSON,7391,10526,10,17927,8527,10568,17,19112
JASPER,2895,3107,0,6002,3027,3393,1,6421
JEFFERSON,8090,9637,0,17727,7784,9841,0,17625
JERSEY,3415,4220,5,7640,4087,4247,9,8343
JO DAVIESS,2906,6762,18,9686,4293,6111,13,10417
JOHNSON,1549,2973,2,4524,1413,2778,6,4197
KANE,20848,56009,59,76916,31279,55389,93,86761
KANKAKEE,11088,21993,47,33128,17115,20311,26,37452
KENDALL,1407,5057,7,6471,2242,5975,11,8228
KNOX,9558,18656,37,28251,11889,17938,23,29850
LA SALLE,18318,33461,83,51862,27532,27552,41,55125
LAKE,32279,66781,129,99189,46941,67809,149,114899
LAWRENCE,3751,6104,7,9862,3667,6120,13,9800
LEE,4531,11653,5,16189,5896,10835,8,16739
LIVINGSTON,5197,13939,7,19143,6642,13139,2,19783
LOGAN,4793,9589,14,14396,5691,9383,16,15090
MACON,23066,27673,32,50771,26029,27151,108,53288
MACOUPIN,12303,12290,34,24627,13120,11731,45,24896
MADISON,47897,39413,88,87398,54787,42984,133,97904
MARION,8551,10813,21,19385,9116,11121,13,20250
MARSHALL,2245,4764,5,7014,2981,4150,7,7138
MASON,3199,4677,13,7889,3824,4337,19,8180
MASSAC,2359,4265,5,6629,2644,4521,6,7171
MCDONOUGH,3872,9725,8,13605,4520,9363,10,13893
MCHENRY,6820,24912,66,31798,12659,25787,62,38508
MCLEAN,12332,25758,21,38111,13971,24758,32,38761
MENARD,1833,3188,4,5025,2068,3120,5,5193
MERCER,2969,5732,7,8708,3476,5582,3,9061
MONROE,2648,4715,1,7364,3398,4731,4,8133
MONTGOMERY,7692,9945,8,17645,8815,9178,14,18007
MORGAN,6327,10262,11,16600,7259,9791,12,17062
MOULTRIE,2751,3756,8,6515,3079,3752,0,6831
OGLE,3660,13194,16,16870,4792,13226,7,18025
PEORIA,30145,50888,108,81141,39061,45529,86,84676
PERRY,4901,6513,0,11414,4958,6708,6,11672
PIATT,2356,4622,1,6979,2889,4506,4,7399
PIKE,5382,5920,16,11318,5461,5965,10,11436
POPE,922,1842,1,2765,971,1689,5,2665
PULASKI,2246,2966,15,5227,2322,2621,18,4961
PUTNAM,913,1724,4,2641,1160,1457,2,2619
RANDOLPH,6778,8439,4,15221,7344,7988,15,15347
RICHLAND,2485,5304,5,7794,3015,5329,9,8353
ROCK ISLAND,29145,31342,118,60605,33812,32534,108,66454
SALINE,7215,8481,20,15716,6835,8853,19,15707
SANGAMON,28949,42951,35,71935,35793,41483,59,77335
SCHUYLER,2189,3068,13,5270,2115,3047,2,5164
SCOTT,1478,2303,0,3781,1543,2267,4,3814
SHELBY,5337,7075,13,12425,5720,6872,11,12603
ST CLAIR,55295,41528,283,97106,67367,42046,338,109751
STARK,1118,3241,2,4361,1383,2925,6,4314
STEPHENSON,6349,14245,20,20614,8055,13872,68,21995
TAZEWELL,16230,23690,50,39970,20521,23967,38,44526
UNION,4359,4204,6,8569,4321,4432,10,8763
VERMILION,17991,26534,60,44585,19702,26571,69,46342
WABASH,2713,4425,8,7146,3013,4261,4,7278
WARREN,2996,7580,6,10582,3835,7221,10,11066
WASHINGTON,2820,5299,16,8135,3093,5053,11,8157
WAYNE,3942,6286,14,10242,3954,6652,9,10615
WHITE,4778,6128,11,10917,4756,5810,11,10577
WHITESIDE,6158,17589,37,23784,9112,17434,46,26592
WILL,25188,45628,100,70916,41056,42575,81,83712
WILLIAMSON,10345,13438,27,23810,11335,13732,29,25096
WINNEBAGO,29063,48332,89,77484,40090,49541,110,89741
WOODFORD,3257,8505,21,11783,4401,8101,7,12509
