County Name,Region Name,Media Market,Registered Voters,Ballots Counted,Official Voter Turnout,biden_ticket,trump_ticket
Adams,Southwest,Cincinnati,17246,12280,0.712049171,2156,9870
Allen,West,Lima,67374,48353,0.717680411,14149,33116
Ashland,Northeast,Cleveland,34837,26771,0.768464564,6541,19407
Ashtabula,Northeast,Cleveland,61453,44649,0.726555254,16497,26890
Athens,Southeast,Charleston,39344,26350,0.669733632,14772,10862
Auglaize,West,Dayton,32489,25940,0.798424082,4651,20798
Belmont,Southeast,Wheeling,46315,33364,0.72037137,9138,23560
Brown,Southwest,Cincinnati,29069,21268,0.731638515,4380,16480
Butler,Southwest,Cincinnati,256908,187828,0.731109969,69613,114392
Carroll,Northeast,Cleveland,18416,14303,0.776661599,3251,10745
Champaign,West,Dayton,26492,20096,0.758568624,5062,14589
Clark,West,Dayton,89826,64710,0.720392759,24076,39032
Clermont,Southwest,Cincinnati,145129,111333,0.767131311,34092,74570
Clinton,Southwest,Cincinnati,27616,20657,0.748008401,4697,15488
Columbiana,Northeast,Youngstown,66293,50411,0.760427194,13359,35726
Coshocton,Central,Columbus,22730,16900,0.743510779,4125,12325
Crawford,Central,Columbus,28211,20860,0.739427883,4916,15436
Cuyahoga,Northeast,Cleveland,888556,631199,0.710364907,416176,202699
Darke,West,Dayton,34669,27371,0.789494938,4731,22004
Defiance,Northwest,Toledo,26411,19613,0.742607247,5981,13038
Delaware,Central,Columbus,151756,127111,0.837601149,57735,66356
Erie,Northeast,Cleveland,54129,40783,0.753440854,17493,22160
Fairfield,Central,Columbus,109176,84061,0.769958599,31224,50797
Fayette,Central,Columbus,17180,12704,0.739464494,2975,9473
Franklin,Central,Columbus,882635,636056,0.720633104,409144,211237
Fulton,Northwest,Toledo,29496,22982,0.779156496,6664,15731
Gallia,Southeast,Charleston,18982,13922,0.733431672,2990,10645
Geauga,Northeast,Cleveland,67969,56600,0.832732569,21201,34143
Greene,West,Dayton,118938,89627,0.753560679,34798,52072
Guernsey,Southeast,Wheeling,24549,18383,0.748828873,4577,13407
Hamilton,Southwest,Cincinnati,600386,434956,0.724460597,246266,177886
Hancock,Northwest,Toledo,51714,39066,0.755424063,11757,26310
Hardin,Central,Columbus,18211,13388,0.735160068,3062,9949
Harrison,Southeast,Wheeling,10205,7726,0.757079863,1768,5792
Henry,Northwest,Toledo,19710,14907,0.756316591,4062,10479
Highland,Southwest,Cincinnati,27351,19792,0.723629849,3799,15678
Hocking,Central,Columbus,18645,13915,0.746312684,3880,9737
Holmes,Northeast,Cleveland,18286,13246,0.724379307,1994,10796
Huron,Northeast,Cleveland,36886,27397,0.742747926,7759,18956
Jackson,Southeast,Charleston,21013,14932,0.710607719,3311,11309
Jefferson,Southeast,Wheeling,48167,33694,0.699524571,10018,22828
Knox,Central,Columbus,42320,31595,0.746573724,8589,22340
Lake,Northeast,Cleveland,163936,131603,0.802770593,55514,73278
Lawrence,Southeast,Charleston,44119,28473,0.645368209,7489,20306
Licking,Central,Columbus,124208,94899,0.764032913,33055,59514
Logan,West,Dayton,32218,23706,0.735799863,5055,17964
Lorain,Northeast,Cleveland,218501,158732,0.726458918,75667,79520
Lucas,Northwest,Toledo,299794,202321,0.674866742,115411,81763
Madison,Central,Columbus,25827,19984,0.773763891,5698,13835
Mahoning,Northeast,Youngstown,165259,119968,0.725939283,57641,59903
Marion,Central,Columbus,40262,28151,0.699195271,8269,19023
Medina,Northeast,Cleveland,130169,106755,0.820126144,39800,64598
Meigs,Southeast,Charleston,15414,11091,0.719540677,2492,8316
Mercer,West,Dayton,29398,23907,0.813218586,4030,19452
Miami,West,Dayton,75470,58361,0.773300649,15663,41371
Monroe,Southeast,Wheeling,9572,7249,0.757312996,1605,5463
Montgomery,West,Dayton,372139,270531,0.726962237,135064,129034
Morgan,Central,Columbus,9262,6908,0.74584323,1725,5041
Morrow,Central,Columbus,25186,18570,0.737314381,4048,14077
Muskingum,Central,Zanesville,55078,40766,0.740150332,11971,27867
Noble,Southeast,Wheeling,8138,6461,0.793929712,1170,5135
Ottawa,Northwest,Toledo,30442,24243,0.796366862,9008,14628
Paulding,West,Ft. Wayne,12811,9576,0.747482632,2213,7086
Perry,Central,Columbus,22541,16840,0.747083093,4098,12357
Pickaway,Central,Columbus,36306,28480,0.784443343,7304,20593
Pike,Central,Columbus,18124,12536,0.691679541,3110,9157
Portage,Northeast,Cleveland,108884,83475,0.766641563,35661,45990
Preble,West,Dayton,28654,21982,0.767152928,4493,17022
Putnam,Northwest,Toledo,23859,20072,0.841275829,3195,16412
Richland,Northeast,Cleveland,82754,60336,0.729100708,17640,41472
Ross,Central,Columbus,46037,33558,0.728935422,10557,22278
Sandusky,Northwest,Toledo,40470,30453,0.752483321,10596,18896
Scioto,Southeast,Charleston,46120,32351,0.701452732,9080,22609
Seneca,Northwest,Toledo,34413,26068,0.757504431,8266,17086
Shelby,West,Dayton,32843,25449,0.774868313,4465,20422
Stark,Northeast,Cleveland,252972,191252,0.756020429,75904,111097
Summit,Northeast,Cleveland,379673,283705,0.747235121,151668,124833
Trumbull,Northeast,Youngstown,136895,101813,0.743730596,44519,55194
Tuscarawas,Northeast,Cleveland,59638,44580,0.747509977,12889,30458
Union,Central,Columbus,41432,33705,0.813501641,11141,21669
Van Wert,West,Ft. Wayne,20291,15077,0.743038786,3067,11650
Vinton,Southeast,Charleston,8627,6105,0.707661991,1331,4632
Warren,Southwest,Cincinnati,167606,137187,0.818508884,46069,87988
Washington,Southeast,Parkersburg,42774,32343,0.756136906,9243,22307
Wayne,Northeast,Cleveland,74470,54848,0.736511347,16660,36759
Williams,Northwest,Toledo,25515,18963,0.743209877,4842,13452
Wood,Northwest,Toledo,93149,68103,0.73111896,30617,35757
Wyandot,Northwest,Toledo,15491,11486,0.741462785,2733,8462
