Country,Year,Month,Events,Fatalities
Ukraine,2018,January,716,53
Ukraine,2018,February,1058,26
Ukraine,2018,March,797,35
Ukraine,2018,April,1103,39
Ukraine,2018,May,1297,179
Ukraine,2018,June,1164,118
Ukraine,2018,July,916,51
Ukraine,2018,August,1048,89
Ukraine,2018,September,1194,85
Ukraine,2018,October,1490,72
Ukraine,2018,November,1291,52
Ukraine,2018,December,1262,74
Ukraine,2019,January,1053,66
Ukraine,2019,February,1163,75
Ukraine,2019,March,1378,29
Ukraine,2019,April,1337,36
Ukraine,2019,May,1275,21
Ukraine,2019,June,1447,24
Ukraine,2019,July,1204,33
Ukraine,2019,August,926,33
Ukraine,2019,September,1246,25
Ukraine,2019,October,1535,17
Ukraine,2019,November,1218,13
Ukraine,2019,December,1079,17
Ukraine,2020,January,1021,17
Ukraine,2020,February,1092,11
Ukraine,2020,March,1392,15
Ukraine,2020,April,1066,8
Ukraine,2020,May,1172,12
Ukraine,2020,June,824,8
Ukraine,2020,July,718,10
Ukraine,2020,August,122,12
Ukraine,2020,September,181,4
Ukraine,2020,October,256,5
Ukraine,2020,November,237,5
Ukraine,2020,December,353,6
Ukraine,2021,January,391,4
Ukraine,2021,February,402,13
Ukraine,2021,March,465,19
Ukraine,2021,April,760,20
Ukraine,2021,May,820,21
Ukraine,2021,June,467,24
Ukraine,2021,July,629,7
Ukraine,2021,August,554,12
Ukraine,2021,September,613,9
Ukraine,2021,October,707,4
Ukraine,2021,November,937,12
Ukraine,2021,December,545,4
Ukraine,2022,January,426,7
Ukraine,2022,February,1402,542
Ukraine,2022,March,2208,4695
Ukraine,2022,April,1867,1912
Ukraine,2022,May,2573,2731
Ukraine,2022,June,2832,1617
Ukraine,2022,July,4032,1940
Ukraine,2022,August,4394,2302
Ukraine,2022,September,4234,2864
Ukraine,2022,October,3528,2120
Ukraine,2022,November,3707,5001
Ukraine,2022,December,3413,3199
Ukraine,2023,January,3110,2296
